id|name|slug_en|slug_fa|province_id|is_active|active_for_order|created_at|updated_at|deleted
1|آذرشهر||آذرشهر|1|0|0||2022-01-09 17:20:37|0
2|اسکو||اسكو|1|0|0||2022-01-09 17:20:37|0
3|اهر||اهر|1|0|0||2022-01-09 17:20:37|0
4|بستان آباد||بستان-آباد|1|0|0||2022-01-09 17:20:37|0
5|بناب||بناب|1|0|0||2022-01-09 17:20:37|0
6|تبریز||تبريز|1|0|0||2022-01-09 17:20:37|0
7|جلفا||جلفا|1|0|0||2022-01-09 17:20:37|0
8|چاراویماق||چاراویماق|1|0|0||2022-01-09 17:20:37|0
9|سراب||سراب|1|0|0||2022-01-09 17:20:37|0
10|شبستر||شبستر|1|0|0||2022-01-09 17:20:37|0
11|عجب‌ شیر||عجب‌-شیر|1|0|0||2022-01-09 17:20:37|0
12|کلیبر||کلیبر|1|0|0||2022-01-09 17:20:37|0
13|مراغه||مراغه|1|0|0||2022-01-09 17:20:37|0
14|مرند||مرند|1|0|0||2022-01-09 17:20:37|0
15|ملکان||ملکان|1|0|0||2022-01-09 17:20:37|0
16|میانه||میانه|1|0|0||2022-01-09 17:20:37|0
17|ورزقان||ورزقان|1|0|0||2022-01-09 17:20:37|0
18|هریس||هریس|1|0|0||2022-01-09 17:20:37|0
19|هشترود||هشترود|1|0|0||2022-01-09 17:20:37|0
20|ارومیه||ارومیه|2|0|0|||0
21|اشنویه||اشنویه|2|0|0|||0
22|بوکان||بوکان|2|0|0|||0
23|پیرانشهر||پیرانشهر|2|0|0|||0
24|تکاب||تکاب|2|0|0|||0
25|چالدران||چالدران|2|0|0|||0
26|خوی||خوی|2|0|0|||0
27|سردشت||سردشت|2|0|0|||0
28|سلماس||سلماس|2|0|0|||0
29|شاهین دژ||شاهین-دژ|2|0|0|||0
30|ماکو||ماکو|2|0|0|||0
31|مهاباد||مهاباد|2|0|0|||0
32|میاندوآب||میاندوآب|2|0|0|||0
33|نقده||نقده|2|0|0|||0
34|ارد||ارد|3|0|0||2021-01-18 19:28:07|0
35|بیله سوار||بیله-سوار|3|0|0|||0
36|پارس آباد||پارس-آباد|3|0|0|||0
37|خلخال||خلخال|3|0|0|||0
38|کوثر||کوثر|3|0|0|||0
39|گرمی||گرمی|3|0|0|||0
40|مشکین شهر||مشکین-شهر|3|0|0|||0
41|نمین||نمین|3|0|0|||0
42|نیر||نیر|3|0|0|||0
44|اردستان||اردستان|4|0|0|||0
45|اصفهان||اصفهان|4|0|0|||0
46|میمه||میمه|4|0|0|||0
47|تیران و کرون||تیران-و-کرون|4|0|0|||0
48|چادگان||چادگان|4|0|0|||0
49|خمینی شهر||خمینی-شهر|4|0|0|||0
50|خوانسار||خوانسار|4|0|0|||0
51|سمیرم||سمیرم|4|0|0|||0
52|شاهین شهر||شاهین-شهر|4|0|0|||0
53|شهرضا||شهرضا|4|0|0|||0
54|سميرم سفلي||سميرم-سفلي|4|0|0|||0
55|فریدن||فریدن|4|0|0|||0
56|فریدون شهر||فریدون-شهر|4|0|0|||0
57|فلاورجان||فلاورجان|4|0|0|||0
58|کاشان||کاشان|4|0|0|||0
59|گلپایگان||گلپایگان|4|0|0|||0
60|لنجان||لنجان|4|0|0|||0
61|مبارکه||مبارکه|4|0|0|||0
62|نایین||نایین|4|0|0|||0
63|نجف آباد||نجف-آباد|4|0|0|||0
64|نطنز||نطنز|4|0|0|||0
66|کرج||کرج|5|0|0||2021-12-05 13:04:01|0
67|نظرآباد||نظرآباد|5|0|0||2021-12-05 13:04:01|0
68|طالقان||طالقان|5|0|0||2021-12-05 13:04:01|0
69|آبدانان||آبدانان|6|0|0||2021-12-05 13:03:58|0
70|ایلام||ایلام|6|0|0||2021-12-05 13:03:58|0
71|ایوان||ایوان|6|0|0||2021-12-05 13:03:58|0
72|دره شهر||دره-شهر|6|0|0||2021-12-05 13:03:58|0
73|دهلران||دهلران|6|0|0||2021-12-05 13:03:58|0
74|چرداول||چرداول|6|0|0||2021-12-05 13:03:58|0
75|مهران||مهران|6|0|0||2021-12-05 13:03:58|0
76|بوشهر||بوشهر|7|0|0||2021-12-05 11:16:20|0
77|تنگستان||تنگستان|7|0|0||2021-12-05 11:16:20|0
78|جم||جم|7|0|0||2021-12-05 11:16:20|0
79|دشتستان||دشتستان|7|0|0||2021-12-05 11:16:20|0
80|دشتی||دشتی|7|0|0||2021-12-05 11:16:20|0
81|بندر دیر||بندر-دیر|7|0|0||2021-12-05 11:16:20|0
82|بندر دیلم||بندر-دیلم|7|0|0||2021-12-05 11:16:20|0
83|بندر کنگان||بندر-کنگان|7|0|0||2021-12-05 11:16:20|0
84|بندر گناوه||بندر-گناوه|7|0|0||2021-12-05 11:16:20|0
85|اسلامشهر||اسلامشهر|8|0|0|||0
86|پاکدشت||پاکدشت|8|0|0|||0
87|تهران||تهران|8|0|1||2021-12-12 12:43:34|0
88|دماوند||دماوند|8|0|0||2021-12-12 12:43:32|0
89|رباط کریم||رباط-کریم|8|0|0|||0
90|ری||ری|8|0|0|||0
91|شمیرانات||شمیرانات|8|0|0|||0
92|شهریار||شهریار|8|0|0|||0
93|فیروزکوه||فیروزکوه|8|0|0|||0
94|ورامین||ورامین|8|0|0|||0
95|اردل||اردل|9|0|0||2021-12-12 12:43:39|0
96|بروجن||بروجن|9|0|0||2021-12-12 12:43:39|0
97|شهرکرد||شهرکرد|9|0|0||2021-12-12 12:43:39|0
98|فارسان||فارسان|9|0|0||2021-12-12 12:43:39|0
99|کوهرنگ||کوهرنگ|9|0|0||2021-12-12 12:43:39|0
100|لردگان||لردگان|9|0|0||2021-12-12 12:43:39|0
101|بیرجند||بیرجند|10|0|0||2021-12-12 12:43:47|0
102|درمیان||درمیان|10|0|0||2021-12-12 12:43:47|0
103|سرایان||سرایان|10|0|0||2021-12-12 12:43:47|0
104|سربیشه||سربیشه|10|0|0||2021-12-12 12:43:47|0
105|فردوس||فردوس|10|0|0||2021-12-12 12:43:47|0
106|قائن||قائن|10|0|0||2021-12-12 12:43:47|0
107|نهبندان||نهبندان|10|0|0||2021-12-12 12:43:47|0
108|بردسکن||بردسکن|11|0|0|||0
109|بجستان||بجستان|11|0|0|||0
110|تایباد||تایباد|11|0|0|||0
111|تحت جلگه||تحت-جلگه|11|0|0|||0
112|تربت جام||تربت-جام|11|0|0|||0
113|تربت حیدریه||تربت-حیدریه|11|0|0|||0
114|چناران||چناران|11|0|0|||0
115|جغتای||جغتای|11|0|0|||0
116|جوین||جوین|11|0|0|||0
117|خليل آباد||خليل-آباد|11|0|0|||0
118|خواف||خواف|11|0|0|||0
119|درگز||درگز|11|0|0|||0
120|رشتخوار||رشتخوار|11|0|0|||0
121|زاوه||زاوه|11|0|0|||0
122|سبزوار||سبزوار|11|0|0|||0
123|سرخس||سرخس|11|0|0|||0
124|فریمان||فریمان|11|0|0|||0
125|قوچان||قوچان|11|0|0|||0
126|طرقبه||طرقبه|11|0|0|||0
127|کاشمر||کاشمر|11|0|0|||0
128|کلات||کلات|11|0|0|||0
129|گناباد||گناباد|11|0|0|||0
130|مشهد||مشهد|11|0|0|||0
131|مه ولات||مه ولات|11|0|0|||0
132|نیشابور||نیشابور|11|0|0|||0
133|اسفراین||اسفراین|12|0|0|||0
134|بجنورد||بجنورد|12|0|0|||0
135|جاجرم||جاجرم|12|0|0|||0
136|شیروان||شیروان|12|0|0|||0
137|فاروج||فاروج|12|0|0|||0
138|مانه و سملقان||مانه-و-سملقان|12|0|0|||0
139|آبادان||آبادان|13|0|0|||0
140|امیدیه||امیدیه|13|0|0|||0
141|اندیمشک||اندیمشک|13|0|0|||0
142|اهواز||اهواز|13|0|0|||0
143|ایذه||ایذه|13|0|0|||0
144|باغ ملک||باغ-ملک|13|0|0|||0
145|بندر ماهشهر||بندر-ماهشهر|13|0|0|||0
146|بهبهان||بهبهان|13|0|0|||0
147|خرمشهر||خرمشهر|13|0|0|||0
148|دزفول||دزفول|13|0|0|||0
149|دشت آزادگان||دشت-آزادگان|13|0|0|||0
150|رامشیر||رامشیر|13|0|0|||0
151|رامهرمز||رامهرمز|13|0|0|||0
152|شادگان||شادگان|13|0|0|||0
153|شوش||شوش|13|0|0|||0
154|شوشتر||شوشتر|13|0|0|||0
155|گتوند||گتوند|13|0|0|||0
156|لالی||لالی|13|0|0|||0
157|مسجد سلیمان||مسجد-سلیمان|13|0|0|||0
158|هندیجان||هندیجان|13|0|0|||0
159|ابهر||ابهر|14|0|0|||0
160|ایجرود||ایجرود|14|0|0|||0
161|خدابنده||خدابنده|14|0|0|||0
162|خرمدره||خرمدره|14|0|0|||0
163|زنجان||زنجان|14|0|0|||0
164|طارم||طارم|14|0|0|||0
165|ماه نشان||ماه-نشان|14|0|0|||0
166|دامغان||دامغان|15|0|0|||0
167|سمنان||سمنان|15|0|0|||0
168|شاهرود||شاهرود|15|0|0|||0
169|گرمسار||گرمسار|15|0|0|||0
170|مهدی‌شهر||مهدی‌شهر|15|0|0|||0
171|ایرانشهر||ایرانشهر|16|0|0|||0
172|چابهار||چابهار|16|0|0|||0
173|خاش||خاش|16|0|0|||0
174|دلگان||دلگان|16|0|0|||0
175|زابل||زابل|16|0|0|||0
176|زاهدان||زاهدان|16|0|0|||0
177|زهک||زهک|16|0|0|||0
178|سراوان||سراوان|16|0|0|||0
179|سرباز||سرباز|16|0|0|||0
180|کنارک||کنارک|16|0|0|||0
181|نیک شهر||نیک-شهر|16|0|0|||0
183|ارسنجان||ارسنجان|17|0|0|||0
184|استهبان||استهبان|17|0|0|||0
185|اقلید||اقليد|17|0|0|||0
186|بوانات||بوانات|17|0|0|||0
187|سعادت شهر||سعادت-شهر|17|0|0|||0
188|جهرم||جهرم|17|0|0|||0
189|خرم بید||خرم-بید|17|0|0||2021-01-07 20:36:46|0
190|خنج||خنج|17|0|0|||0
191|داراب||داراب|17|0|0|||0
192|زرین دشت||زرین-دشت|17|0|0|||0
193|سپیدان||سپیدان|17|0|0|||0
194|شیراز||شیراز|17|1|1||2021-01-07 20:14:46|0
195|فراشبند||فراشبند|17|0|0|||0
196|فسا||فسا|17|1|0|||0
197|فیروزآباد||فیروزآباد|17|0|0|||0
198|قیر و کارزین||قیر-و-کارزین|17|0|0|||0
199|کازرون||کازرون|17|1|0|||0
200|لارستان||لارستان|17|0|0|||0
201|لامرد||لامرد|17|0|0|||0
202|مرودشت||مرودشت|17|1|0|||0
203|ممسنی||ممسني|17|0|0|||0
204|مهر||مهر|17|0|0|||0
205|نی ریز||نی-ریز|17|0|0|||0
206|آبیک||آبیک|18|0|0|||0
207|البرز||البرز|18|0|0|||0
208|بوئین زهرا||بوئین-زهرا|18|0|0|||0
209|تاکستان||تاکستان|18|0|0|||0
210|قزوین||قزوین|18|0|0|||0
211|قم||قم|19|0|0|||0
212|بانه||بانه|20|0|0|||0
213|بیجار||بیجار|20|0|0|||0
214|دیواندره||دیواندره|20|0|0|||0
215|سروآباد||سروآباد|20|0|0|||0
216|سقز||سقز|20|0|0|||0
217|سنندج||سنندج|20|0|0|||0
218|قروه||قروه|20|0|0|||0
219|کامیاران||کامیاران|20|0|0|||0
220|مریوان||مریوان|20|0|0|||0
221|بافت||بافت|21|0|0|||0
222|بردسیر||بردسیر|21|0|0|||0
223|بم||بم|21|0|0|||0
224|جیرفت||جیرفت|21|0|0|||0
225|راور||راور|21|0|0|||0
226|رفسنجان||رفسنجان|21|0|0|||0
227|رودبار جنوب||رودبار-جنوب|21|0|0|||0
228|زرند||زرند|21|0|0|||0
229|سیرجان||سیرجان|21|0|0|||0
230|شهربابک||شهربابک|21|0|0|||0
231|عنبرآباد||عنبرآباد|21|0|0|||0
232|قلعه گنج||قلعه-گنج|21|0|0|||0
233|کرمان||کرمان|21|0|0|||0
234|کوهبنان||کوهبنان|21|0|0|||0
235|کهنوج||کهنوج|21|0|0|||0
236|منوجان||منوجان|21|0|0|||0
237|اسلام آباد غرب||اسلام-آباد-غرب|22|0|0|||0
238|پاوه||پاوه|22|0|0|||0
239|ثلاث باباجانی||ثلاث-باباجانی|22|0|0|||0
240|جوانرود||جوانرود|22|0|0|||0
241|دالاهو||دالاهو|22|0|0|||0
242|روانسر||روانسر|22|0|0|||0
243|سرپل ذهاب||سرپل-ذهاب|22|0|0|||0
244|سنقر||سنقر|22|0|0|||0
245|صحنه||صحنه|22|0|0|||0
246|قصر شیرین||قصر-شیرین|22|0|0|||0
247|کرمانشاه||کرمانشاه|22|0|0|||0
248|کنگاور||کنگاور|22|0|0|||0
249|گیلان غرب||گیلان-غرب|22|0|0|||0
250|هرسین||هرسین|22|0|0|||0
